라우팅영향,유사도,test_id,질문,정답라벨,LOO예측,끌어당긴_이웃_test_id,끌어당긴_이웃_질문,이웃라벨
★,0.9284,kmrs_apply_mthd_q1,착오송금 반환지원을 온라인으로 신청하려면 어느 사이트로 가야 하나요?,link_guide,faq,faq_msdr_apply_q6,착오송금 반환지원은 온라인으로만 신청 가능한가요?,faq
★,0.9284,faq_msdr_apply_q6,착오송금 반환지원은 온라인으로만 신청 가능한가요?,faq,link_guide,kmrs_apply_mthd_q1,착오송금 반환지원을 온라인으로 신청하려면 어느 사이트로 가야 하나요?,link_guide
★,0.9263,kmrs_apply_mthd_q2,착오송금 반환지원을 방문 신청하려면 어디로 가야 하나요?,link_guide,faq,faq_top10_q5,착오송금 반환지원은 방문으로도 신청할 수 있나요?,faq
★,0.9263,faq_top10_q5,착오송금 반환지원은 방문으로도 신청할 수 있나요?,faq,link_guide,kmrs_apply_mthd_q2,착오송금 반환지원을 방문 신청하려면 어디로 가야 하나요?,link_guide
★,0.9204,uc_tel_qust_q10,파산절차 관련 의견을 온라인으로 제출하는 페이지는 어디인가요?,link_guide,faq,amb_uc_tel_qust_4,파산절차 관련해서 건의사항 있으면 온라인으로 남길 수 있는 데 어디예요?,faq
★,0.9204,amb_uc_tel_qust_4,파산절차 관련해서 건의사항 있으면 온라인으로 남길 수 있는 데 어디예요?,faq,link_guide,uc_tel_qust_q10,파산절차 관련 의견을 온라인으로 제출하는 페이지는 어디인가요?,link_guide
★,0.8983,ms_trgt_fnst_q3,파산한 금융회사가 검색이 안 되는데 어디서 더 찾아요?,fact,link_guide,uc_gudn_q2,파산한 금융회사 정보는 어디서 검색할 수 있어요?,link_guide
★,0.8983,uc_gudn_q2,파산한 금융회사 정보는 어디서 검색할 수 있어요?,link_guide,fact,ms_trgt_fnst_q3,파산한 금융회사가 검색이 안 되는데 어디서 더 찾아요?,fact
★,0.8983,receiver_attention_q2,착오송금 수취인이 이체수수료 환급을 신청하려면 어디로 가야 하나요?,link_guide,fact,mtrs_stut_chc_q8,착오송금수취인이 이체수수료 환급을 신청하는 메뉴는 무엇인가요?,fact
★,0.8983,mtrs_stut_chc_q8,착오송금수취인이 이체수수료 환급을 신청하는 메뉴는 무엇인가요?,fact,link_guide,receiver_attention_q2,착오송금 수취인이 이체수수료 환급을 신청하려면 어디로 가야 하나요?,link_guide
★,0.8934,receiver_attention_q1,착오송금 수취인이 이의제기를 하려면 어디서 할 수 있나요?,link_guide,fact,receiver_docs_q3,착오송금 수취인이 이의제기서를 신청할 수 있는 기한은 언제까지인가요?,fact
★,0.8934,receiver_docs_q3,착오송금 수취인이 이의제기서를 신청할 수 있는 기한은 언제까지인가요?,fact,link_guide,receiver_attention_q1,착오송금 수취인이 이의제기를 하려면 어디서 할 수 있나요?,link_guide
★,0.8927,mtrs_vst_rcpt_q3,착오송금 반환지원 방문접수 센터의 주소는 어디인가요?,fact,link_guide,kmrs_apply_mthd_q2,착오송금 반환지원을 방문 신청하려면 어디로 가야 하나요?,link_guide
★,0.8868,uc_tel_qust_q3,파산절차 관련 건의사항은 어디로 보내면 되나요?,link_guide,fact,uc_tel_qust_q9,파산절차 관련 건의사항을 보낼 수 있는 웹메일 주소는 무엇인가요?,fact
★,0.8868,uc_tel_qust_q9,파산절차 관련 건의사항을 보낼 수 있는 웹메일 주소는 무엇인가요?,fact,link_guide,uc_tel_qust_q3,파산절차 관련 건의사항은 어디로 보내면 되나요?,link_guide
★,0.8598,uc_gudn_q3,미수령금은 정해진 지급대행점에서만 신청해야 하나요?,fact,link_guide,uc_gudn_q9,미수령금 신청 지급대행점은 어디서 조회하나요?,link_guide
★,0.8106,amb_sender_docs_1,착오송금 되찾기 신청할 때 쓰는 신청서 양식 어디서 받아요?,file_download,link_guide,receiver_docs_q8,착오송금인용 구비서류 안내는 어디서 볼 수 있나요?,link_guide
★,0.7832,amb_dp_gudn_data_1,예금자보호제도 안내책자 PDF 어디서 받을 수 있어요?,file_download,link_guide,mtrs_rel_law_q9,예금자보호법 원문은 어디서 확인할 수 있나요?,link_guide
