최근접유사도,test_id,질문,라벨,가장가까운_이웃,이웃라벨
0.4910,ha_center_q8,"신고사례 중 부실채무자의 대표이사가 자신의 장모에게 채권을 허위로 양도해 재산을 은닉한 사례에서, 신고인에게 지급된 포상금은 얼마였나요?",fact,은닉재산 신고센터에 정보를 제보하여 재산 회수가 완료되면 포상금의 최고한도는 얼마인가요?,fact
0.5087,ms_aply_proc_q4,1종 보험사고와 2종 보험사고는 어떻게 다른가요?,fact,토마토저축은행과 토마토2저축은행의 보험사고일은 각각 언제인가요?,table_lookup
0.5228,sender_attention_q6,자금이체 금융회사등에는 어떤 기관이 포함되나요?,fact,착오송금 반환지원 적용대상이 되는 금융기관에는 어떤 곳이 있나요?,faq
0.5294,amb_uc_hrpe_hist_4,사망신고할 때 주민센터에서 같이 신청하는 그거는 언제까지 해야 되나요?,fact,사망한 부모님 금융거래 한번에 조회하려면 어디 가서 접수하면 돼요? 은행에서도 되나요?,fact
0.5298,amb_ha_status_agree_5,미성년자 애기 이름으로도 이거 넣을 수 있어요?,faq,미성년자인 조카를 대리인으로 세워서 대신 받게 해도 돼요?,faq
0.5325,dr_psn_br_q4,"면책이 불허가되는 주요 사유 중 채무자가 재산을 숨기거나 다른 사람 명의로 바꾸는 행위 외에, 도박이나 낭비와 관련된 면책불허가 사유는 어떤 내용인가요?",fact,과거에 개인파산 면책을 받은 이력이 있는 채무자는 면책 확정일로부터 몇 년이 지나야 다시 면책을 받을 수 있나요?,fact
0.5378,dp_gudn_data_q4,'취약계층에 대한 우선 설명확인 의무 안내' 자료는 언제 등록되었나요?,file_download,금융정보취약계층에게 예금보험관계는 다른 정보보다 나중에 설명해도 되나요?,fact
0.5410,receiver_docs_q9,PDF 첨부파일 내용이 안 보이면 어떻게 해야 하나요?,fact,공동인증서가 보이지 않을 경우 어떻게 해야 하나요?,faq
0.5422,dp_fnst_srch_q8,AIG 손해보험주식회사는 어떤 금융권역으로 등록되어 있나요?,table_lookup,예금보험 대상인 금융권역이 뭐뭐 있어요?,faq
0.5465,amb_dr_system_3,빚이 천만원도 안되는 소액인데 서류 간단하게 빨리 처리해주는 그런것도 있어요?,faq,"원금 1,000만원 미만의 연체채무자를 위해 마련된 신속채무조정제도(Fast-Track)는 어떤 장점이 있나요?",fact
0.5500,amb_ha_status_agree_1,진행현황 조회하려는데 뭐뭐 입력해야 돼요? 필수로?,fact,부실책임조사 진행현황 조회를 위한 개인정보 동의서상 필수항목으로 수집되는 개인정보 항목은 구체적으로 무엇인가요?,table_lookup
0.5541,mtrs_vst_rcpt_q7,방문접수 센터에 지하철 1호선으로 가려면 어느 역에서 내리나요?,fact,방문접수에서 신청서를 접수하면 무엇을 발급받나요?,fact
0.5545,amb_dr_psn_rg_1,매달 월급 받고 있는데 빚 갚으면서 몇년 버티면 나머지 없애준다던데 그거 조건이 뭐에요?,fact,신용회복으로 빚 나눠갚으면 최대 몇년까지 갚을수 있어요? 소득 낮으면 더 길게 되나요?,table_lookup
0.5608,amb_kmrs_itrd_3,이 제도 소개하는 영상 있으면 보고 싶어요,faq,착오송금반환지원 제도를 소개하는 안내영상은 어디서 볼 수 있나요?,link_guide
0.5625,amb_sender_qlfc_check_3,지금 상대랑 소송이나 압류가 걸려 있으면 신청 자격이 안 되나요?,faq,내가 신청 대상 되는지 미리 확인해볼 수 있어요?,faq
0.5638,ms_expln_q9,정상 영업 중인 은행·보험·우체국의 휴면계좌는 어디서 조회하나요?,link_guide,영업정지된 저축은행의 예금은 언제 찾을 수 있나요?,faq
0.5651,amb_dp_gudn_faq_4,인터넷으로 처음 가입할 때는 어떤 안내문이 떠요?,faq,처음 신청하는 건데 뭐부터 해야 돼요?,faq
0.5729,ha_center_q10,2025년 12월말 기준으로 은닉재산 신고센터에 접수된 제보건수와 발견재산은 각각 얼마인가요?,table_lookup,은닉재산 신고센터에 정보를 제보하여 재산 회수가 완료되면 포상금의 최고한도는 얼마인가요?,fact
0.5737,amb_ha_status_agree_4,주소나 전화번호는 꼭 안적어도 되나요?,fact,메일로도 제보 넣을 수 있나요? 주소 좀,faq
0.5738,amb_kmrs_proc_4,예보가 상대방 연락처랑 주소는 어떻게 알아내요?,faq,신청하고 나면 예보가 무슨 순서로 돈을 되찾아 주는 거예요?,faq
