id,label,status,properties_json
document:dp_faq_page,dp_faq_page,official_source,"{""page_id"":""dp_faq_page"",""content_sha256"":""053957508cb2b05942fa36d7ef48414f9c69b9da76654e53d6f3163a8a80d186""}"
document:dp_fnst,dp_fnst,official_source,"{""page_id"":""dp_fnst"",""content_sha256"":""f9aefe8660a4ae5b77f5874c415d24703eeb43fa23a4238cf219d3c617c06747""}"
document:dp_fnst_srch,dp_fnst_srch,official_source,"{""page_id"":""dp_fnst_srch"",""content_sha256"":""7bea25e25d0465ee97127aca6a748909a9abd48f86a3ab997414053d028f65f1""}"
document:dp_gudn,dp_gudn,official_source,"{""page_id"":""dp_gudn"",""content_sha256"":""dccd0b0bcc9c2becc411d6e87f3e70e1606885ba6d567986bf81e32ccb242e23""}"
document:dp_gudn_data,dp_gudn_data,official_source,"{""page_id"":""dp_gudn_data"",""content_sha256"":""277bc8673d7e26f7c773524f321fdd3ceea6903ab7019980e37b7c3dcd36244d""}"
document:dp_gudn_faq,dp_gudn_faq,official_source,"{""page_id"":""dp_gudn_faq"",""content_sha256"":""c05522f4f7b5b14e720c8059445f3fc6e75b62698f71fdb50aa028837d3b07c1""}"
document:dp_josa_itrd,dp_josa_itrd,official_source,"{""page_id"":""dp_josa_itrd"",""content_sha256"":""9edde39f7b3f5537ecdae0df628602c25ea1691f536c82fc3a8b2d8ee0fd868a""}"
document:dp_josa_law,dp_josa_law,official_source,"{""page_id"":""dp_josa_law"",""content_sha256"":""0be73d35eb6e82335cf79e906a5b38a14ab0eaf5d2778e248f019881b6930353""}"
document:dp_josa_objc,dp_josa_objc,official_source,"{""page_id"":""dp_josa_objc"",""content_sha256"":""55199305c163c5f4fbd7c9e307ab0f28c897828356d40640b938501adbbb0187""}"
document:dp_logo,dp_logo,official_source,"{""page_id"":""dp_logo"",""content_sha256"":""b13558ea8d7751e0ce05b5495297e8e0052178c445171ce682a47c3552951609""}"
