판정,유사도,test_id,질문,라벨,링크보유,정답페이지_링크수,이웃_test_id,이웃_질문,이웃라벨,이웃_링크보유
검토 — expected_links 누락 가능,0.9204,uc_tel_qust_q10,파산절차 관련 의견을 온라인으로 제출하는 페이지는 어디인가요?,link_guide,O,1,amb_uc_tel_qust_4,파산절차 관련해서 건의사항 있으면 온라인으로 남길 수 있는 데 어디예요?,faq,X
검토 — expected_links 누락 가능,0.8983,receiver_attention_q2,착오송금 수취인이 이체수수료 환급을 신청하려면 어디로 가야 하나요?,link_guide,O,4,mtrs_stut_chc_q8,착오송금수취인이 이체수수료 환급을 신청하는 메뉴는 무엇인가요?,fact,X
검토 — expected_links 누락 가능,0.8934,receiver_attention_q1,착오송금 수취인이 이의제기를 하려면 어디서 할 수 있나요?,link_guide,O,4,receiver_docs_q3,착오송금 수취인이 이의제기서를 신청할 수 있는 기한은 언제까지인가요?,fact,X
검토 — expected_links 누락 가능,0.8927,mtrs_vst_rcpt_q3,착오송금 반환지원 방문접수 센터의 주소는 어디인가요?,fact,X,3,kmrs_apply_mthd_q2,착오송금 반환지원을 방문 신청하려면 어디로 가야 하나요?,link_guide,O
검토 — expected_links 누락 가능,0.8868,uc_tel_qust_q3,파산절차 관련 건의사항은 어디로 보내면 되나요?,link_guide,O,1,uc_tel_qust_q9,파산절차 관련 건의사항을 보낼 수 있는 웹메일 주소는 무엇인가요?,fact,X
검토 — expected_links 누락 가능,0.8598,uc_gudn_q3,미수령금은 정해진 지급대행점에서만 신청해야 하나요?,fact,X,4,uc_gudn_q9,미수령금 신청 지급대행점은 어디서 조회하나요?,link_guide,O
검토 — expected_links 누락 가능,0.8106,amb_sender_docs_1,착오송금 되찾기 신청할 때 쓰는 신청서 양식 어디서 받아요?,file_download,X,2,receiver_docs_q8,착오송금인용 구비서류 안내는 어디서 볼 수 있나요?,link_guide,O
검토 — expected_links 누락 가능,0.7789,dp_josa_law_q3,부보금융기관 조사 관련 규정 원문은 어디에서 확인할 수 있나요?,link_guide,O,1,dp_josa_law_q8,부보금융기관 조사와 공동검사에 관한 내부 규정의 명칭은 무엇인가요?,fact,X
검토 — expected_links 누락 가능,0.7764,amb_dr_info_aply_1,제가 망한 금융회사에 빚이 있는지 인터넷으로 확인해볼 수 있나요?,faq,X,1,amb_uc_gudn_5,내가 예전에 거래한 그 망한 금융회사 자세한 정보는 어디서 찾아봐요?,link_guide,O
검토 — expected_links 누락 가능,0.7470,kmrs_apply_mthd_q9,방문 신청 장소의 정확한 주소는 어떻게 되나요?,link_guide,O,2,amb_mtrs_vst_rcpt_4,방문 신청하면 대상 되는지 결과는 어떻게 알려줘요?,faq,X
검토 — expected_links 누락 가능,0.7389,ms_expln_q8,공사 홈페이지를 통한 인터넷 예금보험금 신청이 불가능한 경우는 언제인가요?,fact,X,1,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide,O
검토 — expected_links 누락 가능,0.7310,amb_ms_expln_3,미성년자 자녀 예금도 홈페이지에서 인터넷으로 신청할 수 있나요?,faq,X,1,ms_aply_proc_q2,예금보험금을 인터넷으로 신청할 수 있는 곳이 어디예요?,link_guide,O
검토 — expected_links 누락 가능,0.7248,ha_center_q3,금융부실관련자의 은닉재산 정보를 직접 인터넷으로 신고하고 진행상황을 조회하기 위해 접속해야 하는 신고 바로가기 페이지 주소는 무엇인가요?,link_guide,O,1,ha_center_q9,은닉재산 신고센터 안내자료에서 정의하는 '금융부실관련자'란 구체적으로 누구를 의미하나요?,fact,X
검토 — expected_links 누락 가능,0.7160,dr_credit_sprt_q2,개인신용회복지원을 직접 신청하고자 할 때 금융회사가 아닌 신용회복위원회 공식 웹사이트에 접속해 진행해야 합니다. 위원회 주소는 무엇인가요?,link_guide,O,1,dr_credit_sprt_q10,"개인신용회복지원 신청은 개별 파산금융회사에 직접 신청하면 되나요, 아니면 별도의 기관에 신청해야 하나요?",fact,X
검토 — expected_links 누락 가능,0.7068,amb_mtrs_stut_chc_3,채무 잔액이랑 반환됐는지 확인은 어디서 해요?,link_guide,O,6,mtrs_stut_chc_q7,착오송금수취인이 채무 잔액을 확인하는 메뉴는 무엇인가요?,fact,X
