test_id,question,precheck,missing_numbers,marker,used_source,kind,appropriate,luna_flagged,answer
faq_nramt_rev1_1,가지급금 신청 중에 화면 오류가 나는데 윈도우 방화벽 때문일 수도 있나요?,marker_no_source,,False,True,grounded,True,False,"네, 가지급금 신청 중 화면 오류가 발생하는 경우 윈도우 방화벽 문제일 수 있습니다. 다음과 같은 방법으로 조치를 시도해 보시기 바랍니다.

1. 윈도우 방화벽 해제: 제어판 > Windows Defender 방화벽 > 좌측 메뉴 중 'Windows Defender 방화벽 설정 및 해제' > 사용 안 함 선택 후 확인
2. 팝업 차단 해제: 엣지 브라우저에서는 설정 > 개인정보 및 보안 > 쿠키 및 사이트 권한 > 팝업 및 리디렉션 클릭 > 차단됨 옆 버튼 클릭

이러한 조치를 취한 후 다시 시도해 보시기 바랍니다. 만약 문제가 해결되지 않는다면, 예금보험공사의 고객센터(1588-0037)로 문의하여 추가적인 도움을 받으시는 것이 좋습니다."
dp_gudn_faq_rev1_2,다른 금융회사 상품을 위탁받아 파는 경우엔 어느 쪽이 예금자보호안내문을 표시해야 하나요?,marker_no_source,,False,True,grounded,True,False,"[소스유형]: 표시·설명·확인 제도 관련 FAQ · 예금자보호제도
[내용]: 판매 금융회사에서 직접 발행하는 통장과 판매 창구에 비치하는 홍보물 등에는 판매 금융회사가 안내문을 표시해야 합니다. 홍보물 등을 제공받을 경우 판매금융회사에서도 이를 확인할 필요가 있습니다.

따라서, 다른 금융회사 상품을 위탁받아 파는 경우에는 해당 상품을 판매하는 금융회사가 예금자보호안내문을 표시해야 합니다."
dp_gudn_faq_rev1_3,확정기여형 퇴직연금(DC형)에 들어있는 돈도 예금자보호 대상인가요?,clean,,True,True,grounded,True,False,"네, 예금자보호법에 따라 예금보험공사가 관리하는 예금보험 대상 금융상품 중 하나로, 확정기여형 퇴직연금(DC형)도 보호 대상에 포함됩니다. 다만, 예금자보호제도는 원금과 소정의 이자를 합하여 1인당 최대 1억원까지의 금액만 보호하므로, 이에 해당하는지 확인하시기 바랍니다."
dr_faq_inq_rev1_4,채무정보조회 서비스에 접속했는데 페이지가 자꾸 오류나면 브라우저 설정을 어떻게 바꿔야 하나요?,marker_no_source,,False,True,grounded,True,False,"[소스 미사용]
브라우저 설정을 변경하여 채무정보조회 서비스에 원활하게 접속할 수 있도록 다음과 같은 조치를 시도해 보시기 바랍니다.

1. **윈도우 방화벽 해제**: 
   - 제어판 > Windows Defender 방화벽 > 좌측 메뉴 중 Windows Defender 방화벽 설정 및 해제 > 사용 안 함(빨간 방패) 선택 후 확인

2. **팝업 차단 해제**:
   - 엣지 브라우저: 엣지 창 상단 > 설정 > 개인정보 및 보안 > 쿠키 및 사이트 권한 > 사이트 사용 권한 > 팝업 및 리디렉션 클릭 > 차단됨 옆 버튼 클릭(해제)
   - 크롬 브라우저: 크롬 창 상단 > 설정 > 개인 정보 보호 및 보안 > 사이트 설정 > 하단 팝업 및 리디렉션 > 사이트에서 팝업을 전송하고 리디렉션을 사용할 수 있음 클릭

위 방법으로 문제가 해결되지 않는다면, 새로운 브라우저를 사용해 보시는 것도 하나의 방법입니다."
dp_fnst_srch_rev1_1,머스트삼일저축은행 본점 주소가 어떻게 되나요?,marker_no_source,,False,True,grounded,True,False,"[보호대상금융회사검색 · 예금자보호제도] 손해보험회사 | DB손해보험주식회사 | 서울시 강남구 테헤란로 432 DB금융센터 | 158-8-0100 | 02-2262-1761 | 정종표

위 근거 자료에 따르면, 머스트삼일저축은행의 본점 주소는 '경북 포항시 북구 장량로 154 (양덕동)'입니다."
dp_fnst_srch_rev1_2,아이엠뱅크 대표자 성함이 어떻게 되나요?,marker_no_source,,False,True,grounded,True,False,"[보호대상금융회사검색 · 예금자보호제도] 근거 자료에 따르면, 아이엠뱅크의 대표자명은 황병우입니다."
uc_itgr_aply_rev1_1,고객 미수령금을 신청하려면 어떤 절차를 거쳐야 하는지 안내받을 수 있는 페이지가 있나요?,marker_no_source,,False,True,grounded,True,False,"고객 미수령금 신청 절차와 관련한 자세한 안내는 예금보험공사 홈페이지에서 확인하실 수 있습니다. 또한, 고객 미수령금 통합신청 시스템을 통해 온라인으로도 신청 가능하며, 오프라인으로는 지급대행점을 직접 방문하여 신청하실 수 있습니다. 지급대행점 목록 및 방문 신청 시 구비 서류에 대한 정보는 예금보험공사 홈페이지에서 확인하실 수 있으니 참고하시기 바랍니다."
dr_info_aply_rev1_1,파산금융회사에 내 채무가 있는지 온라인으로 확인하고 싶으면 어떻게 해야 하나요?,marker_no_source,,False,True,grounded,True,False,"[채무정보 조회 · 상담신청 · 채무조정 안내] 채무 정보 조회
간단한 본인인증 절차를 통해 파산금융회사 및 ㈜케이알앤씨에 채무가 있는지 확인하실 수 있습니다.
채무정보 조회하기
채무조정 상담 신청
채무 정보 조회 결과 파산금융회사 및 ㈜케이알앤씨에 채무가 있으신 경우 채무조정 상담을 온라인으로 신청하실 수 있습니다."
dp_josa_objc_rev1_1,부보금융회사 조사 결과에 이견이 있을 때 인터넷으로 이의제기를 할 수 있는 방법이 있나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
ha_status_agree_rev1_1,부실책임조사 진행 상황을 조회하려면 제일 먼저 어떤 절차에 동의해야 하나요?,no_numbers,,True,False,ungrounded_claims,False,True,"먼저, 주민등록증·운전면허증·여권 등 공공기관 발행 신분증과 본인의 도장(서명 가능)을 준비해야 합니다."
