test_id,question,precheck,missing_numbers,marker,used_source,kind,appropriate,luna_flagged,answer
dp_faq_page_rev1_1,예금보호한도가 1억원으로 오른 게 정확히 언제부터 적용됐나요?,marker_no_source,,False,True,grounded,True,False,"2025년 9월 1일부터 예금보호한도가 1억 원으로 올랐으며, 이는 예금 가입 시점과 관계없이 일괄 적용됩니다. 다만, 금융 회사를 사칭하여 한도 상향을 사유로 개인·신용 정보를 요구하는 금융 사기 행위에 유의하셔야 합니다."
dp_faq_page_rev1_2,한도가 1억원으로 상향된 걸 적용받으려면 은행에 따로 신청해야 하나요?,marker_no_source,,False,True,grounded,True,False,"이미 상향된 예금보호한도 1억원이 적용되고 있기 때문에 별도의 신청은 필요하지 않습니다. 예금 등을 보유하고 있다면 자동으로 적용되며, 2025년 9월 1일 이후에 신규 가입한 예금에도 동일하게 적용됩니다. 다만, 금융회사를 사칭하여 한도 상향을 사유로 개인·신용정보를 요구하는 등의 금융사기에 주의하시기 바랍니다."
dp_gudn_faq_rev1_1,금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있나요?,no_numbers,,True,True,grounded,True,False,"네, 금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있습니다. 이는 '예금자보호법'에 따른 것으로, 부보금융회사는 당해 금융회사가 판매하는 금융상품의 보험관계 성립 여부와 그 내용을 거래고객이 쉽게 확인할 수 있도록 홍보물 및 통장 등, 계좌조회 화면 등에 예금자보호 안내문을 표시해야 합니다. 이러한 제도는 예금자보호법에 따라 금융소비자가 예금보호 여부를 한눈에 쉽게 파악할 수 있도록 하기 위해 마련되었으며, 이를 통해 금융소비자와 부보금융회사의 피해를 예방하고자 합니다."
faq_top10_rev1_1,착오송금 신청하고 나서 실제로 돈을 돌려받기까지 보통 얼마나 걸리나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
faq_top10_rev1_2,착오송금 수취인 계좌가 압류돼 있으면 반환지원을 못 받나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
faq_msdr_apply_rev1_1,"착오송금 반환지원은 금액이 아무리 커도 다 신청할 수 있나요, 상한선이 있나요?",clean,,True,True,grounded,True,False,"착오송금 반환지원 대상 금액은 착오송금 건당 **5만원 이상**부터 **1억원 이하**까지의 금액에 대해 신청 가능하며, 송금일로부터 1년 이내에 신청하셔야 합니다."
dr_faq_inq_rev1_1,스마트폰으로도 내 채무정보를 조회할 수 있나요?,no_numbers,,True,True,grounded,True,False,"네, 가능합니다. 모바일 환경에서는 ‘휴대폰 인증’ 절차를 이용해 주시기 바랍니다."
dr_faq_inq_rev1_2,채무정보조회 사이트가 서비스 운영시간이 아니라고 뜨는데 어떻게 해야 하나요?,marker_no_source,,False,True,grounded,True,False,"문의하신 내용은 예금보험공사가 제공하는 서비스의 범위를 벗어나므로 정확한 안내가 어렵습니다. 해당 사이트의 운영 시간을 확인하시고, 운영 시간 이후에 접속하셨다면 운영 시간이 지난 후에 다시 시도해 주시기 바랍니다. 그래도 문제가 해결되지 않는다면 고객센터에 문의하시는 것을 추천드립니다."
ha_faq_dclr_rev1_1,은닉재산을 신고해서 포상금을 받으려면 최대 얼마까지 받을 수 있는지 기준이 궁금해요.,marker_no_source,,False,True,grounded,True,False,"은닉재산을 신고해서 포상금을 받을 때는 최대 30억원까지 받을 수 있습니다. 이는 신고된 은닉재산이 회수되고, 신고자의 회수 기여도에 따라 차등 산정됩니다. 자세한 사항은 예금보험공사 홈페이지의 금융부실관련자 은닉재산 신고센터 창을 참고하시기 바랍니다."
faq_nramt_rev1_2,가지급금 신청하다가 막히면 원격으로 도움받을 수 있는 방법이 있나요?,clean,,True,False,ungrounded_claims,True,True,"가지급금 신청 중 화면 오류가 발생할 경우, 다음과 같은 방법으로 도움을 받을 수 있습니다.
1. 윈도우 방화벽 해제: 제어판 > Windows Defender 방화벽 > '사용 안 함' 선택
2. 팝업 차단 해제: 엣지 브라우저의 경우, 설정 > 개인정보 및 보안 > 팝업 및 리디렉션에서 '차단됨'을 해제합니다.
이러한 방법으로 문제를 해결할 수 있으며, 만약 문제가 지속된다면 예금보험공사의 IT 서비스 데스크(02-758-1117)로 문의하여 원격 지원을 받으실 수 있습니다."
dp_faq_page_rev1_3,회사(법인) 명의로 든 예금도 개인예금처럼 1억원까지 보호받을 수 있나요?,clean,,True,True,grounded,True,False,"네. 기업 등 법인의 예금도 개인예금과 마찬가지로 법인별 1억원까지 보호됩니다. 다만, 정부·지방자치단체·한국은행·금융감독원·예금보험공사 및 부보금융회사*의 예금은 보호대상에서 제외됩니다."
faq_msdr_apply_rev1_2,송금 수취인이 이미 폐업한 회사 계좌라면 반환지원을 못 받는 건가요?,marker_no_source,,False,True,grounded,True,False,"이미 폐업한 회사의 계좌로 착오송금이 이루어진 경우, 착오송금 반환지원 대상이 아닙니다. 이러한 경우에는 민사소송 등의 다른 법적 조치를 고려해야 할 수도 있습니다. 자세한 사항은 법률 전문가나 관련 기관에 문의하시기 바랍니다."
dr_faq_inq_rev1_3,채무정보 조회를 하려는데 공동인증서가 아예 없으면 어디서 발급받나요?,no_numbers,,True,True,grounded,True,False,공동인증서는 가까운 은행/우체국/증권사 등 거래하는 금융기관에서 인터넷 뱅킹을 신청하면 무료로 발급받을 수 있습니다.
ha_faq_dclr_rev1_2,은닉재산 신고 관련해서 더 자세히 알고 싶으면 어디로 연락하면 되나요?,marker_no_source,,False,True,grounded,True,False,"더 자세한 내용에 대해 알고 싶으시다면 예금보험공사 홈페이지(www.kdic.or.kr) 내의 '금융부실관련자 은닉재산 신고센터'를 참조하시거나, 상담전화(1588-0037, 02-758-0102∼4)로 문의하시는 것을 추천드립니다."
uc_bkrp_mng_rev1_1,경기저축은행 파산재단 사건을 맡은 관재인 이름이 무엇인가요?,no_numbers,,True,True,grounded,True,False,경기저축은행 파산재단 사건을 맡은 관재인은 **남성모**입니다.
uc_bkrp_mng_rev1_2,"신충은금고 파산재단은 진행 상태가 종결됐나요, 아직 진행 중인가요?",marker_no_source,,False,True,grounded,True,False,문의하신 신충은금고의 파산재단 진행 상태는 이미 '종결'된 것으로 확인됩니다. 추가적인 정보가 필요하시다면 해당 파산재단 관리 담당자에게 문의하시기 바랍니다.
uc_bkrp_mng_rev1_3,첨산신협 파산재단의 파산선고일이 언제였나요?,marker_no_source,,False,True,grounded,True,False,첨산신협의 파산선고일은 1999년 9월 20일이었습니다.
uc_bkrp_mng_rev1_4,한은금고 파산재단에 문의하려면 몇 번으로 전화해야 하나요?,marker_no_source,,False,False,refusal,False,True,문의하신 한은금고 파산재단에 대한 연락처 정보는 근거 자료에 포함되어 있지 않아 안내가 어렵습니다. 해당 파산재단이나 관련 기관에 문의하시길 권해드립니다.
dp_prdct_srch_rev1_1,칸서스자산운용주식회사가 예금보험공사 보호대상 금융상품 검색에 나오는 회사 목록에 포함돼 있나요?,marker_no_source,,False,False,refusal,True,False,제공된 자료에서 확인할 수 없습니다. 예금보험공사 홈페이지에서 보호 대상 금융상품 검색을 통해 확인하실 수 있습니다.
dp_prdct_srch_rev1_2,보호대상금융상품검색 목록에 라이나생명보험도 포함되어 있나요?,marker_no_source,,False,True,grounded,True,False,[보호대상금융상품검색 · 예금자보호제도] 라이나생명보험(주)이 목록에 포함되어 있습니다.
dp_svbk_hist_rev1_1,센트럴저축은행은 원래 이름이 뭐였고 언제 바뀌었나요?,clean,,True,False,ungrounded_claims,False,True,2007년 8월 29일에 천안으로 변경되었습니다.
