test_id,question,precheck,missing_numbers,marker,used_source,kind,appropriate,luna_flagged,answer
dp_faq_page_rev1_1,예금보호한도가 1억원으로 오른 게 정확히 언제부터 적용됐나요?,marker_no_source,,False,True,grounded,True,False,2025년 9월 1일부터 예금보호한도가 1억 원으로 올랐습니다. 이는 예금 가입 시점과 관계없이 '25.9.1. 이전에 가입한 예금도 1억 원까지 보호됩니다.
dp_faq_page_rev1_2,한도가 1억원으로 상향된 걸 적용받으려면 은행에 따로 신청해야 하나요?,marker_no_source,,False,True,grounded,True,False,"이미 상향된 예금보호한도인 1억원이 자동으로 적용되고 있으므로 별도의 신청은 필요하지 않습니다. 다만, 금융회사를 사칭하여 한도 상향을 이유로 개인·신용정보를 요구하는 등의 금융사기에 유의하시기 바랍니다."
dp_gudn_faq_rev1_1,금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있나요?,no_numbers,,True,True,grounded,True,False,"네, 금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있습니다. 이는 '예금자보호법'에 따른 것으로, 부보금융회사는 당해 금융회사가 판매하는 금융상품의 보험관계 성립 여부와 그 내용을 거래고객이 쉽게 확인할 수 있도록 홍보물 및 통장 등에 예금자보호 안내문을 표시해야 합니다. 이러한 규정은 예금자보호 제도의 투명성과 신뢰성을 높이기 위해 마련되었으며, 금융 소비자들이 자신의 예금이 보호되는지를 명확히 알 수 있도록 하기 위함입니다."
faq_top10_rev1_1,착오송금 신청하고 나서 실제로 돈을 돌려받기까지 보통 얼마나 걸리나요?,marker_no_source,,False,True,grounded,True,False,"문의하신 내용에 대해 정확한 예측 결과를 제공하기 어렵습니다. 착오송금의 반환 과정은 여러 변수가 있어 소요 기간을 특정하기 어렵습니다. 일반적으로 신청 후 1~2개월 내에 처리될 수 있으나, 상황에 따라 달라질 수 있습니다. 자세한 사항은 예금보험공사 고객센터나 홈페이지를 통해 확인하시는 것을 추천드립니다."
faq_top10_rev1_2,착오송금 수취인 계좌가 압류돼 있으면 반환지원을 못 받나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
faq_msdr_apply_rev1_1,"착오송금 반환지원은 금액이 아무리 커도 다 신청할 수 있나요, 상한선이 있나요?",clean,,True,True,grounded,True,False,"착오송금 반환지원 대상 금액은 착오송금 건당 **5만원 이상**부터 **1억원 이하**까지의 범위에서만 신청 가능하며, 이 조건을 충족할 때 신청이 가능합니다."
dr_faq_inq_rev1_1,스마트폰으로도 내 채무정보를 조회할 수 있나요?,no_numbers,,True,True,grounded,True,False,"네, 가능합니다. 모바일 환경에서는 ‘휴대폰 인증’ 절차를 이용해 주시기 바랍니다."
dr_faq_inq_rev1_2,채무정보조회 사이트가 서비스 운영시간이 아니라고 뜨는데 어떻게 해야 하나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 해당 사이트의 고객센터나 운영시간에 문의하시길 권해드립니다.
ha_faq_dclr_rev1_1,은닉재산을 신고해서 포상금을 받으려면 최대 얼마까지 받을 수 있는지 기준이 궁금해요.,marker_no_source,,False,True,grounded,True,False,"포상금의 최대 한도는 30억원이며, 이는 신고된 은닉재산이 회수되고, 신고자의 회수 기여도에 따라 차등 산정됩니다. 자세한 사항은 예금보험공사 홈페이지나 고객센터를 통해 확인하실 수 있습니다."
faq_nramt_rev1_1,가지급금 신청 중에 화면 오류가 나는데 윈도우 방화벽 때문일 수도 있나요?,marker_no_source,,False,True,grounded,True,False,"네, 가지급금 신청 중에 화면 오류가 발생하는 경우 윈도우 방화벽 문제일 수 있습니다. 다음과 같은 방법으로 조치를 시도해 보시기 바랍니다.

1. 윈도우 방화벽 해제: 제어판 > Windows Defender 방화벽 > 좌측 메뉴 중 'Windows Defender 방화벽 설정 및 해제' > 사용 안 함 선택 후 확인
2. 팝업 차단 해제: 엣지 브라우저에서는 설정 > 개인정보 및 보안 > 쿠키 및 사이트 권한 > 팝업 및 리디렉션 클릭 > 차단됨 옆 버튼 클릭

이러한 조치를 취한 후 다시 시도해 보시기 바랍니다. 만약 문제가 해결되지 않는다면, 예금보험공사의 고객센터(1588-0037)로 연락하여 추가적인 도움을 받으시는 것이 좋습니다."
faq_nramt_rev1_2,가지급금 신청하다가 막히면 원격으로 도움받을 수 있는 방법이 있나요?,marker_no_source,,False,True,grounded,True,False,"네, 가지급금 신청 중에 문제가 발생할 경우 원격 지원을 받을 수 있습니다. 예금보험공사의 웹사이트(http://help.kdic.or.kr)를 통해 원격 지원을 신청하시면 도움을 받으실 수 있습니다. (먼저 전화연락을 주신 후 접속해 주시기 바랍니다.)"
dp_faq_page_rev1_3,회사(법인) 명의로 든 예금도 개인예금처럼 1억원까지 보호받을 수 있나요?,marker_no_source,,False,False,refusal,False,True,위 근거 자료에서는 회사(법인) 명의로 든 예금에 대한 정보를 찾을 수 없어 답변을 제공할 수 없습니다. 추가적인 정보는 예금보험공사에 문의하시기 바랍니다.
faq_msdr_apply_rev1_2,송금 수취인이 이미 폐업한 회사 계좌라면 반환지원을 못 받는 건가요?,marker_no_source,,False,True,grounded,True,False,"이미 폐업한 회사의 계좌로 착오송금이 이루어진 경우, 착오송금 반환지원 대상이 아닙니다. 이는 착오송금 수취인이 휴업·폐업한 법인인 경우에 해당되기 때문입니다. 이런 경우에는 민사소송 등의 방법을 통해 해결해야 할 것으로 보입니다. 자세한 사항은 법률 전문가에게 상담을 요청하시는 것을 추천드립니다."
dr_faq_inq_rev1_3,채무정보 조회를 하려는데 공동인증서가 아예 없으면 어디서 발급받나요?,no_numbers,,True,True,grounded,True,False,공동인증서는 가까운 은행/우체국/증권사 등 거래하는 금융기관에서 인터넷 뱅킹을 신청하면 무료로 발급받을 수 있습니다.
ha_faq_dclr_rev1_2,은닉재산 신고 관련해서 더 자세히 알고 싶으면 어디로 연락하면 되나요?,marker_no_source,,False,True,grounded,True,False,"문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 기타 자세한 사항은 예금보험공사 홈페이지 내의 『금융부실관련자 은닉재산 신고센터』창이나 상담전화(1588-0037, 02-758-0102∼4)를 이용하시기 바랍니다."
dp_gudn_faq_rev1_2,다른 금융회사 상품을 위탁받아 파는 경우엔 어느 쪽이 예금자보호안내문을 표시해야 하나요?,marker_no_source,,False,True,grounded,True,False,"위 근거 자료에 따르면, 다른 금융회사 상품을 위탁받아 판매하는 경우 예금자보호안내문은 판매 금융회사에서 직접 발행하는 통장과 판매 창구 등에 표시해야 합니다. 또한, 홍보물 등에도 판매 금융회사에서 안내문을 표시해야 합니다. 이는 예금자가 해당 상품의 예금자보호 여부를 명확히 알 수 있도록 하기 위함입니다."
dp_gudn_faq_rev1_3,확정기여형 퇴직연금(DC형)에 들어있는 돈도 예금자보호 대상인가요?,marker_no_source,,False,True,grounded,True,False,"네, 예금보험공사의 예금자보호법에 따르면 예금자보호대상 금융상품으로 운용되는 확정기여형 퇴직연금(DC형)의 적립금도 보호 대상에 포함됩니다. 다만, 보호 한도는 금융회사별로 1인당 최대 1억원까지이며, 이는 원금과 소정의 이자를 합친 금액을 기준으로 합니다. 따라서 DC형 퇴직연금 적립금이 1억원을 초과하는 경우에도 초과분은 보호되지 않지만, 예금자보호법에 따라 일정 부분은 보호받을 수 있습니다."
dr_faq_inq_rev1_4,채무정보조회 서비스에 접속했는데 페이지가 자꾸 오류나면 브라우저 설정을 어떻게 바꿔야 하나요?,marker_no_source,,False,True,grounded,True,False,"브라우저 설정을 바꾸는 것은 시스템 오류 해결에 도움이 될 수 있지만, 해당 내용에 대한 자세한 정보는 제공해 드리기 어렵습니다. 오류 발생 시에는 브라우저 캐시를 지워보거나, 다른 웹 브라우저를 사용해 보시는 것을 권장 드립니다. 그래도 문제가 지속될 경우에는 고객센터에 문의하시기 바랍니다."
dp_fnst_srch_rev1_1,머스트삼일저축은행 본점 주소가 어떻게 되나요?,marker_no_source,,False,False,refusal,False,True,문의하신 '머스트삼일저축은행'의 본점 주소는 제공된 자료에서 찾을 수 없습니다. 해당 은행에 직접 문의하시거나 인터넷 검색을 통해 확인해 보시기 바랍니다.
dp_fnst_srch_rev1_2,아이엠뱅크 대표자 성함이 어떻게 되나요?,marker_no_source,,False,False,ungrounded_claims,False,True,아이엠뱅크의 대표자 성함은 근거 자료에 명시되어 있지 않습니다. 해당 정보는 아이엠뱅크에 직접 문의하시는 것을 추천드립니다.
dp_fnst_srch_rev1_3,아이엔지증권 서울지점 팩스번호가 어떻게 되나요?,marker_no_source,,False,False,refusal,True,False,아이엔지증권 서울지점의 팩스번호는 근거 자료에 나와있지 않습니다. 해당 정보를 확인하시려면 아이엔지증권 서울지점에 직접 문의하시는 것을 추천드립니다.
dp_fnst_srch_rev1_4,중국농업은행주식유한회사 대표번호로 전화하려면 몇 번으로 걸어야 하나요?,marker_no_source,,False,False,ungrounded_claims,False,True,중국농업은행주식유한회사의 대표번호는 근거 자료에 나와있지 않습니다. 해당 정보는 중국농업은행 공식 웹사이트나 고객센터를 통해 확인하실 수 있습니다.
uc_bkrp_mng_rev1_1,경기저축은행 파산재단 사건을 맡은 관재인 이름이 무엇인가요?,no_numbers,,True,True,grounded,True,False,경기저축은행 파산재단 사건을 맡은 관재인은 **남성모**입니다.
uc_bkrp_mng_rev1_2,"신충은금고 파산재단은 진행 상태가 종결됐나요, 아직 진행 중인가요?",marker_no_source,,False,False,refusal,True,False,"문의하신 내용에 대해 정확한 정보를 제공하기 어렵습니다. 해당 정보는 예금보험공사의 업무 범위 내에 있지 않으므로, 관련 기관이나 담당 부서에 문의하시기 바랍니다."
uc_bkrp_mng_rev1_3,첨산신협 파산재단의 파산선고일이 언제였나요?,marker_no_source,,False,True,grounded,True,False,첨산신협의 파산선고일은 1999년 9월 20일이었습니다.
uc_bkrp_mng_rev1_4,한은금고 파산재단에 문의하려면 몇 번으로 전화해야 하나요?,marker_no_source,,False,False,refusal,False,True,문의하신 한은금고 파산재단에 대한 연락처 정보는 근거 자료에 포함되어 있지 않아 안내가 어렵습니다. 해당 기관에 직접 문의하시거나 웹사이트를 참조하시기 바랍니다.
dp_prdct_srch_rev1_1,칸서스자산운용주식회사가 예금보험공사 보호대상 금융상품 검색에 나오는 회사 목록에 포함돼 있나요?,marker_no_source,,False,False,refusal,True,False,제공된 자료에서 확인할 수 없습니다. 예금보험공사 홈페이지에서 보호 대상 금융상품 검색 메뉴를 통해 자세한 정보를 확인하실 수 있습니다.
dp_prdct_srch_rev1_2,보호대상금융상품검색 목록에 라이나생명보험도 포함되어 있나요?,marker_no_source,,False,False,refusal,False,True,보호대상금융상품검색 목록에 라이나생명보험이 포함되어 있는지 여부는 해당 목록을 확인해봐야 알 수 있습니다. 관련 정보는 예금보험공사 홈페이지에서 확인하실 수 있습니다.
dp_svbk_hist_rev1_1,센트럴저축은행은 원래 이름이 뭐였고 언제 바뀌었나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용에 대한 정보는 제공된 자료에서 찾을 수 없어 답변드릴 수 없습니다. 해당 은행의 공식 홈페이지나 고객센터를 통해 확인해 보시는 것을 추천드립니다.
dp_svbk_hist_rev1_2,키움예스저축은행의 예전 명칭은 무엇이었나요?,marker_no_source,,False,False,refusal,True,False,제공된 자료에서 확인할 수 없습니다.
dp_svbk_hist_rev1_3,오투저축은행은 언제부터 그 이름을 쓰기 시작했나요?,marker_no_source,,False,False,refusal,False,True,오투저축은행이 언제부터 그 이름을 쓰기 시작했는지에 대한 정보는 주어진 자료에 포함되어 있지 않습니다. 해당 정보를 확인하려면 추가적인 출처를 참조하시기 바랍니다.
ms_trgt_fnst_rev1_1,보해저축은행의 보험사고일과 보험지급개시일이 각각 언제였나요?,marker_no_source,,False,True,grounded,True,False,"보해저축은행의 보험사고일은 2011년 2월 19일이고, 보험지급개시일은 2011년 9월 8일입니다."
