test_id,question,precheck,missing_numbers,marker,used_source,kind,appropriate,luna_flagged,answer
dp_faq_page_rev1_1,예금보호한도가 1억원으로 오른 게 정확히 언제부터 적용됐나요?,marker_no_source,,False,True,grounded,True,False,2025년 9월 1일부터 예금보호한도가 1억 원으로 올랐습니다. 이는 예금 가입 시점과 관계없이 '25.9.1. 이전에 가입한 예금도 1억 원까지 보호됩니다.
dp_faq_page_rev1_2,한도가 1억원으로 상향된 걸 적용받으려면 은행에 따로 신청해야 하나요?,marker_no_source,,False,True,grounded,True,False,"이미 상향된 예금보호한도인 1억원이 자동으로 적용되고 있으므로 별도의 신청은 필요하지 않습니다. 다만, 금융회사를 사칭하여 한도 상향을 이유로 개인·신용정보를 요구하는 등의 금융사기에 유의하시기 바랍니다."
dp_gudn_faq_rev1_1,금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있나요?,no_numbers,,True,True,grounded,True,False,"네, 금융회사 홍보 책자나 통장에 예금자보호 여부를 꼭 표시해야 하는 법적 근거가 있습니다. 이는 '예금자보호법'에 따른 것으로, 부보금융회사는 당해 금융회사가 판매하는 금융상품의 보험관계 성립 여부와 그 내용을 거래고객이 쉽게 확인할 수 있도록 홍보물 및 통장 등에 예금자보호 안내문을 표시해야 합니다. 이러한 규정은 예금자보호 제도의 투명성과 신뢰성을 높이기 위해 마련되었으며, 금융 소비자들이 자신의 예금이 보호되는지를 명확히 알 수 있도록 하기 위함입니다."
faq_top10_rev1_1,착오송금 신청하고 나서 실제로 돈을 돌려받기까지 보통 얼마나 걸리나요?,marker_no_source,,False,True,grounded,True,False,"문의하신 내용에 대해 정확한 예측 결과를 제공하기 어렵습니다. 착오송금의 반환 과정은 여러 변수가 있어 소요 기간을 특정하기 어렵습니다. 일반적으로 신청 후 1~2개월 내에 처리될 수 있으나, 상황에 따라 달라질 수 있습니다. 자세한 사항은 예금보험공사 고객센터나 홈페이지를 통해 확인하시는 것을 추천드립니다."
faq_top10_rev1_2,착오송금 수취인 계좌가 압류돼 있으면 반환지원을 못 받나요?,marker_no_source,,False,False,refusal,True,False,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
faq_msdr_apply_rev1_1,"착오송금 반환지원은 금액이 아무리 커도 다 신청할 수 있나요, 상한선이 있나요?",clean,,True,True,grounded,True,False,"착오송금 반환지원 대상 금액은 착오송금 건당 **5만원 이상**부터 **1억원 이하**까지의 범위에서만 신청 가능하며, 이 조건을 충족할 때 신청이 가능합니다."
dr_faq_inq_rev1_1,스마트폰으로도 내 채무정보를 조회할 수 있나요?,no_numbers,,True,True,grounded,True,False,"네, 가능합니다. 모바일 환경에서는 ‘휴대폰 인증’ 절차를 이용해 주시기 바랍니다."
dr_faq_inq_rev1_2,채무정보조회 사이트가 서비스 운영시간이 아니라고 뜨는데 어떻게 해야 하나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 해당 사이트의 고객센터나 운영시간에 문의하시길 권해드립니다.
dp_fnst_srch_rev1_3,아이엔지증권 서울지점 팩스번호가 어떻게 되나요?,marker_no_source,,False,False,refusal,True,False,아이엔지증권 서울지점의 팩스번호는 근거 자료에 나와있지 않습니다. 해당 정보를 확인하시려면 아이엔지증권 서울지점에 직접 문의하시는 것을 추천드립니다.
dp_fnst_srch_rev1_4,중국농업은행주식유한회사 대표번호로 전화하려면 몇 번으로 걸어야 하나요?,marker_no_source,,False,False,refusal,False,True,중국농업은행주식유한회사의 대표번호는 근거 자료에 나와있지 않습니다. 해당 정보는 중국농업은행 공식 웹사이트나 고객센터를 통해 확인하실 수 있습니다.
uc_bkrp_mng_rev1_1,경기저축은행 파산재단 사건을 맡은 관재인 이름이 무엇인가요?,no_numbers,,True,True,grounded,True,False,경기저축은행 파산재단 사건을 맡은 관재인은 **남성모**입니다.
uc_bkrp_mng_rev1_2,"신충은금고 파산재단은 진행 상태가 종결됐나요, 아직 진행 중인가요?",marker_no_source,,False,False,refusal,False,True,"문의하신 내용에 대해 정확한 정보를 제공하기 어렵습니다. 해당 정보는 예금보험공사의 업무 범위 내에 있지 않으므로, 관련 기관이나 담당 부서에 문의하시기 바랍니다."
uc_bkrp_mng_rev1_3,첨산신협 파산재단의 파산선고일이 언제였나요?,marker_no_source,,False,True,grounded,True,False,첨산신협의 파산선고일은 1999년 9월 20일이었습니다.
uc_bkrp_mng_rev1_4,한은금고 파산재단에 문의하려면 몇 번으로 전화해야 하나요?,marker_no_source,,False,False,refusal,False,True,문의하신 한은금고 파산재단에 대한 연락처 정보는 근거 자료에 포함되어 있지 않아 안내가 어렵습니다. 해당 기관에 직접 문의하시거나 웹사이트를 참조하시기 바랍니다.
dp_prdct_srch_rev1_1,칸서스자산운용주식회사가 예금보험공사 보호대상 금융상품 검색에 나오는 회사 목록에 포함돼 있나요?,marker_no_source,,False,False,refusal,False,True,제공된 자료에서 확인할 수 없습니다. 예금보험공사 홈페이지에서 보호 대상 금융상품 검색 메뉴를 통해 자세한 정보를 확인하실 수 있습니다.
dp_prdct_srch_rev1_2,보호대상금융상품검색 목록에 라이나생명보험도 포함되어 있나요?,marker_no_source,,False,False,refusal,False,True,보호대상금융상품검색 목록에 라이나생명보험이 포함되어 있는지 여부는 해당 목록을 확인해봐야 알 수 있습니다. 관련 정보는 예금보험공사 홈페이지에서 확인하실 수 있습니다.
dp_svbk_hist_rev1_1,센트럴저축은행은 원래 이름이 뭐였고 언제 바뀌었나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용에 대한 정보는 제공된 자료에서 찾을 수 없어 답변드릴 수 없습니다. 해당 은행의 공식 홈페이지나 고객센터를 통해 확인해 보시는 것을 추천드립니다.
dp_svbk_hist_rev1_2,키움예스저축은행의 예전 명칭은 무엇이었나요?,marker_no_source,,False,False,refusal,False,True,제공된 자료에서 확인할 수 없습니다.
dp_svbk_hist_rev1_3,오투저축은행은 언제부터 그 이름을 쓰기 시작했나요?,marker_no_source,,False,False,refusal,False,True,오투저축은행이 언제부터 그 이름을 쓰기 시작했는지에 대한 정보는 주어진 자료에 포함되어 있지 않습니다. 해당 정보를 확인하려면 추가적인 출처를 참조하시기 바랍니다.
ms_trgt_fnst_rev1_1,보해저축은행의 보험사고일과 보험지급개시일이 각각 언제였나요?,marker_no_source,,False,True,grounded,True,False,"보해저축은행의 보험사고일은 2011년 2월 19일이고, 보험지급개시일은 2011년 9월 8일입니다."
ms_trgt_fnst_rev1_2,좋은저축은행 예금보험금 관련 문의 전화번호가 어떻게 되나요?,marker_no_source,,False,False,refusal,True,False,좋은저축은행의 예금보험금 관련 문의 전화번호는 근거 자료에 나와있지 않아 안내가 어렵습니다. 추가적인 정보는 해당 은행의 공식 홈페이지나 고객센터를 통해 확인해 보시기 바랍니다.
ms_trgt_fnst_rev1_3,한주저축은행의 보험지급개시일이 언제인가요?,clean,,True,True,grounded,True,False,한주저축은행의 보험지급개시일은 2012년 9월 10일입니다.
dp_fnst_rev1_1,예금보험공사가 보호하는 금융회사 중 선물회사는 국내에 몇 개사가 등록돼 있나요?,marker_no_source,,False,False,refusal,True,False,문의하신 내용에 대한 정보는 제공된 자료에서 찾을 수 없어 답변드릴 수 없습니다. 추가 정보를 제공해 주시면 도움을 드리겠습니다.
dp_fnst_rev1_2,보호대상 금융회사 중 상호저축은행 및 상호저축은행중앙회는 몇 개나 되나요?,marker_no_source,,False,True,grounded,True,False,보호대상 금융회사 중 상호저축은행 및 상호저축은행중앙회는 총 80개입니다. 자세한 사항은 예금보험공사 홈페이지에서 확인하실 수 있습니다.
kmrs_apply_mthd_rev1_1,착오송금반환지원을 온라인으로 신청할 때와 방문으로 신청할 때 준비물이 각각 어떻게 다른가요?,marker_no_source,,False,True,grounded,True,False,"온라인 신청 시에는 착오송금인의 인감 날인된 채권양도 통지 위임장과 착오송금인의 인감증명서가 필요하며, 방문 신청 시에는 추가적으로 사업자등록증이 필요할 수 있습니다. 자세한 사항은 예금보험공사에 문의하시기 바랍니다."
mtrs_vst_rcpt_rev1_1,착오송금반환지원 방문접수의 첫 단계와 마지막 단계는 각각 무엇을 하는 과정인가요?,no_numbers,,True,True,grounded,True,False,"착오송금반환지원 방문접수의 첫 단계는 구비서류와 신분증을 지참하여 가까운 예금보험공사 센터를 방문하는 과정이며, 마지막 단계는 예금보험공사에서 착오송금 수취인에게서 회수한 금액에서 비용을 공제한 후 착오송금인에게 잔액을 반환하는 과정입니다."
mtrs_stut_chc_rev1_1,내가 착오송금을 보낸 사람인지 받은 사람인지에 따라 처음에 어느 메뉴로 들어가야 하나요?,marker_no_source,,False,True,grounded,True,False,"위 내용에 따르면 착오송금을 보낸 사람은 착오송금 반환 신청을 클릭하시고, 착오송금을 받은 사람은 이의 제기를 클릭하시면 됩니다."
uc_hrpe_hist_rev1_1,돌아가신 부모님이 파산한 저축은행에 예금이 있었는지 확인하려면 어떤 서비스를 이용하면 되나요?,marker_no_source,,False,True,grounded,True,False,"[상속인 금융거래조회 서비스]를 이용하시면 됩니다. 이 서비스는 피상속인(사망자, 실종자, 금치산자 또는 피성년후견인, 피산정후견인)의 금융재산 및 채무를 여러 금융회사를 일일이 방문하지 않고도 확인할 수 있게 해주는 제도입니다. 조회 결과 안내에 따르면, 예금보험금은 예금자의 사망일자가 보험금 지급 결정일 전인 경우 예금 상속, 후인 경우 보험금 상속으로 구분되며, 예금 상속인 경우 상속인의 예금과 합산하여 5천만 원 한도 여부를 판단한다고 합니다. 또한 조회된 미수령금은 상속인 전원의 합의를 거쳐 관련 서류를 구비한 후 해당 파산재단(예금보험금 및 파산배당금) 또는 지급대행점(개산지급금 정산금)에 상속에 따른 명의변경 신청을 접수하시면 상속 처리 후 수령받으실 수 있습니다."
uc_itgr_aply_rev1_1,고객 미수령금을 신청하려면 어떤 절차를 거쳐야 하는지 안내받을 수 있는 페이지가 있나요?,marker_no_source,,False,True,grounded,True,False,"고객 미수령금 신청 절차와 관련한 자세한 안내는 예금보험공사 홈페이지에서 확인하실 수 있습니다. 또한, 고객 미수령금 통합신청 시스템을 통해 온라인으로도 신청 가능하며, 지급대행점 방문 시 필요한 서류 등의 정보도 함께 제공하고 있으니 참고하시기 바랍니다. 추가적인 문의사항이 있을 경우에는 예금보험공사 콜센터(☎ ****-****)로 문의하시면 상세한 안내를 받으실 수 있습니다."
dr_info_aply_rev1_1,파산금융회사에 내 채무가 있는지 온라인으로 확인하고 싶으면 어떻게 해야 하나요?,no_numbers,,True,True,grounded,True,False,채무 정보 조회 간단 본인 인증 절차를 통해 파산금융회사 및 ㈜케이알앤씨에 채무가 있는지 확인하실 수 있습니다. 채무 정보 조회하기를 클릭해 보세요.
dp_josa_objc_rev1_1,부보금융회사 조사 결과에 이견이 있을 때 인터넷으로 이의제기를 할 수 있는 방법이 있나요?,marker_no_source,,False,False,refusal,False,True,문의하신 내용은 예금보험공사가 제공하는 정보의 범위를 벗어난 질문이라 정확한 안내가 어렵습니다. 관련 기관에 문의하시길 권해드립니다.
ha_status_agree_rev1_1,부실책임조사 진행 상황을 조회하려면 제일 먼저 어떤 절차에 동의해야 하나요?,no_numbers,,True,True,grounded,True,False,"부실책임조사 진행 상황을 조회하기 위해서는 먼저 개인정보 수집 및 이용 동의가 필요합니다. 이는 「민원처리 관한 법률」 및 「개인정보 보호법」에 근거하여 필요한 절차입니다. 동의 여부와 관계없이 기본적인 서비스는 제공되지만, 동의하지 않을 경우 일부 서비스 이용에 제한이 있을 수 있습니다."
dp_logo_rev1_1,예금보호 로고를 홍보물에 쓰고 싶은데 어디서 파일을 받을 수 있나요?,marker_no_source,,False,False,refusal,True,False,문의하신 내용에 대해 정확한 답변을 제공하기 어렵습니다. 예금보험공사 홈페이지나 고객센터를 통해 예금보호 로고 파일을 요청하시는 것을 추천드립니다.
receiver_attention_rev1_1,착오송금으로 잘못 받은 돈에 대해 이의를 제기하고 싶으면 어디서 할 수 있나요?,marker_no_source,,False,True,grounded,True,False,착오송금으로 잘못 받은 돈에 대해 이의를 제기하고 싶으시다면 예금보험공사 또는 해당 금융회사에 문의하시는 것이 좋습니다.
