test_id,question,precheck,missing_numbers,marker,used_source,kind,appropriate,luna_flagged,answer
ha_faq_dclr_rev1_1,은닉재산을 신고해서 포상금을 받으려면 최대 얼마까지 받을 수 있는지 기준이 궁금해요.,marker_no_source,,False,True,grounded,True,False,"포상금의 최대 한도는 30억원이며, 이는 신고된 은닉재산이 회수되고 신고자의 회수 기여도에 따라 차등 산정됩니다. 자세한 사항은 예금보험공사 홈페이지나 고객센터를 통해 확인하실 수 있습니다."
faq_nramt_rev1_1,가지급금 신청 중에 화면 오류가 나는데 윈도우 방화벽 때문일 수도 있나요?,marker_no_source,,False,True,grounded,True,False,"네, 가지급금 신청 중에 화면 오류가 발생하는 경우 윈도우 방화벽 문제일 수 있습니다. 다음과 같은 방법으로 조치를 시도해 보시기 바랍니다.

1. 윈도우 방화벽 해제: 제어판 > Windows Defender 방화벽 > 좌측 메뉴 중 'Windows Defender 방화벽 설정 및 해제' > 사용 안 함 선택 후 확인
2. 팝업 차단 해제: 엣지 브라우저에서는 설정 > 개인정보 및 보안 > 쿠키 및 사이트 권한 > 팝업 및 리디렉션 클릭 > 차단됨 옆 버튼을 클릭하여 해제합니다. 크롬 브라우저에서는 설정 > 개인 정보 보호 및 보안 > 사이트 설정 > 하단 콘텐츠 설정 > 팝업 및 리디렉션 > 허용으로 설정합니다.

위의 방법으로 문제를 해결할 수 없으면, 예금보험공사의 고객센터(1588-0037)로 문의하여 추가 지원을 받으시기 바랍니다."
faq_nramt_rev1_2,가지급금 신청하다가 막히면 원격으로 도움받을 수 있는 방법이 있나요?,marker_no_source,,False,True,grounded,True,False,"네, 가지급금 신청 중에 문제가 발생할 경우 원격 지원을 받을 수 있습니다. 예금보험공사의 웹사이트(http://help.kdic.or.kr)를 통해 원격 지원을 신청하시면 도움을 받으실 수 있습니다. (먼저 전화연락을 주신 후 접속해 주시기 바랍니다.)"
dp_faq_page_rev1_3,회사(법인) 명의로 든 예금도 개인예금처럼 1억원까지 보호받을 수 있나요?,marker_no_source,,False,False,refusal,False,True,위 근거 자료에서는 회사(법인) 명의로 든 예금에 대한 정보를 찾을 수 없어 답변을 제공할 수 없습니다. 추가적인 정보는 예금보험공사에 문의하시기 바랍니다.
faq_msdr_apply_rev1_2,송금 수취인이 이미 폐업한 회사 계좌라면 반환지원을 못 받는 건가요?,marker_no_source,,False,True,grounded,True,False,"이미 폐업한 회사의 계좌로 착오송금이 이루어진 경우, 착오송금 반환지원 대상이 아닙니다. 이는 착오송금 수취인이 휴업·폐업한 법인인 경우에 해당되기 때문입니다. 이런 경우에는 민사소송 등의 방법을 통해 해결해야 할 것으로 보입니다. 자세한 사항은 법률 전문가에게 상담을 요청하시는 것을 추천드립니다."
dr_faq_inq_rev1_3,채무정보 조회를 하려는데 공동인증서가 아예 없으면 어디서 발급받나요?,no_numbers,,True,True,grounded,True,False,공동인증서는 가까운 은행/우체국/증권사 등 거래하는 금융기관에서 인터넷 뱅킹을 신청하면 무료로 발급받을 수 있습니다.
ha_faq_dclr_rev1_2,은닉재산 신고 관련해서 더 자세히 알고 싶으면 어디로 연락하면 되나요?,marker_no_source,,False,True,grounded,True,False,"은닉재산 신고와 관련하여 더 자세한 정보가 필요하시다면 예금보험공사 홈페이지(www.kdic.or.kr) 내의 '금융부실관련자 은닉재산 신고센터' 창이나 상담전화(1588-0037, 02-758-0102∼4)를 이용해 보시기 바랍니다."
dp_gudn_faq_rev1_2,다른 금융회사 상품을 위탁받아 파는 경우엔 어느 쪽이 예금자보호안내문을 표시해야 하나요?,marker_no_source,,False,True,grounded,True,False,"위 근거 자료에 따르면, 다른 금융회사 상품을 위탁받아 판매하는 경우 예금자보호안내문은 판매 금융회사에서 직접 발행하는 통장과 판매 창구 등에 표시해야 합니다. 또한, 홍보물 등에도 판매 금융회사에서 안내문을 표시해야 합니다. 이는 예금자가 해당 상품의 예금자보호 여부를 명확히 알 수 있도록 하기 위함입니다."
dp_gudn_faq_rev1_3,확정기여형 퇴직연금(DC형)에 들어있는 돈도 예금자보호 대상인가요?,marker_no_source,,False,True,grounded,True,False,"네, 예금보험공사의 예금자보호법에 따르면 예금자보호대상 금융상품으로 운용되는 확정기여형 퇴직연금(DC형)의 적립금도 보호 대상에 포함됩니다. 다만, 보호 한도는 금융회사별로 1인당 최대 1억원까지이며, 이는 원금과 소정의 이자를 합친 금액을 기준으로 합니다. 따라서 DC형 퇴직연금 적립금이 1억원을 초과하는 경우에도 초과분은 보호되지 않지만, 예금자보호법에 따라 일정 부분은 보호받을 수 있습니다."
dr_faq_inq_rev1_4,채무정보조회 서비스에 접속했는데 페이지가 자꾸 오류나면 브라우저 설정을 어떻게 바꿔야 하나요?,marker_no_source,,False,True,grounded,True,False,"브라우저 설정을 바꾸는 것은 시스템 오류 해결에 도움이 될 수 있지만, 해당 내용에 대한 자세한 정보는 제공해 드리기 어렵습니다. 오류 발생 시에는 브라우저 캐시를 지워보거나, 다른 웹 브라우저를 사용해 보시는 것을 권장 드립니다. 그래도 문제가 지속될 경우에는 고객센터에 문의하시기 바랍니다."
dp_fnst_srch_rev1_1,머스트삼일저축은행 본점 주소가 어떻게 되나요?,marker_no_source,,False,True,grounded,True,False,"문의하신 '머스트삼일저축은행'의 본점 주소는 다음과 같습니다.

* 경북 포항시 북구 장량로 154 (양덕동)

추가 문의 사항이 있으시면 언제든지 말씀해 주세요."
dp_fnst_srch_rev1_2,아이엠뱅크 대표자 성함이 어떻게 되나요?,marker_no_source,,False,False,ungrounded_claims,False,True,아이엠뱅크의 대표자 성함은 근거 자료에 명시되어 있지 않습니다. 해당 정보는 아이엠뱅크에 직접 문의하시는 것을 추천드립니다.
dr_psn_rg_rev1_1,지급불능 상태인 사람이 3~5년간 일정한 소득으로 정해진 금액을 갚으면 남은 채무를 면제받을 수 있는 제도는 무엇인가요?,marker_no_source,,False,True,grounded,True,False,개인회생제도입니다. 이는 지급불능 상태에 있는 사람이 일정한 소득을 얻고 있을 경우에 3~5년간 일정한 금액을 갚으면 채무를 면제받는 제도입니다.
dr_psn_br_rev1_1,파산선고를 받은 채무자가 법원 재판을 통해 남은 채무의 변제 책임을 면제받아 경제적으로 다시 시작할 수 있게 하는 절차는 무엇인가요?,marker_no_source,,False,True,grounded,True,False,"면책결정입니다. 면책결정이 확정되면 채무자는 파산절차에서의 채무 변제 책임이 소멸하며, 경제적으로 재출발할 수 있게 됩니다. 다만, 면책 결정을 받기 위해서는 파산선고 이후 면책 심사를 통과해야 하며, 면책 불허가 사유가 없는 경우에 한해 면책 결정이 내려집니다."
dr_kruc_rev1_1,파산재단이나 부실금융회사에서 넘어간 대출채권의 채무자는 채무조정을 어디에 신청해야 하나요?,clean,,True,True,grounded,True,False,케이알앤씨는 파산재단 및 부실금융회사로부터 인수한 대출채권 채무자의 연체대출금에 대한 채무조정을 지원하고 있습니다. 신청은 케이알앤씨 고객상담센터(1899-0057)를 통해 할 수 있습니다.
dr_credit_sprt_rev1_1,파산한 금융회사의 채무자가 신용회복지원을 받으려면 어느 기관에 신청해야 하나요?,marker_no_source,,False,True,grounded,True,False,"신용회복지원을 받으려면 신용회복위원회에 신청해야 합니다. 신용회복위원회는 개별 금융회사가 아닌 별도의 기관이며, 신용회복지원 신청 시 필요한 구비서류를 지참하여 신청하면 됩니다. 자세한 정보는 신용회복위원회 홈페이지(https://www.ccrs.or.kr)를 참조하시기 바랍니다."
kmrs_itrd_rev1_1,착오송금반환지원 제도는 한마디로 어떤 서비스인가요?,no_numbers,,True,True,grounded,True,False,착오송금반환지원 제도는 착오송금인이 실수로 잘못 보낸 돈을 최소한의 비용으로 빠르게 되찾을 수 있도록 도와드리는 서비스입니다.
